// Made in NPC Maker by BowieD
GUID 74d7ee60dadc497f980f87d04e6a74b2
Type Vendor
ID 24251
Selling 16
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 39020
Selling_0_Cost 175000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 39021
Selling_1_Cost 175000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 39022
Selling_2_Cost 175000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 39023
Selling_3_Cost 175000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 39024
Selling_4_Cost 175000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 39025
Selling_5_Cost 175000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 39026
Selling_6_Cost 175000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 39027
Selling_7_Cost 175000
Selling_8_Type Vehicle
Selling_8_Spawnpoint car
Selling_8_ID 39640
Selling_8_Cost 175000
Selling_9_Type Vehicle
Selling_9_Spawnpoint car
Selling_9_ID 39641
Selling_9_Cost 175000
Selling_10_Type Vehicle
Selling_10_Spawnpoint car
Selling_10_ID 39642
Selling_10_Cost 175000
Selling_11_Type Vehicle
Selling_11_Spawnpoint car
Selling_11_ID 39643
Selling_11_Cost 175000
Selling_12_Type Vehicle
Selling_12_Spawnpoint car
Selling_12_ID 39644
Selling_12_Cost 175000
Selling_13_Type Vehicle
Selling_13_Spawnpoint car
Selling_13_ID 39645
Selling_13_Cost 175000
Selling_14_Type Vehicle
Selling_14_Spawnpoint car
Selling_14_ID 39646
Selling_14_Cost 175000
Selling_15_Type Vehicle
Selling_15_Spawnpoint car
Selling_15_ID 39647
Selling_15_Cost 175000
Disable_Sorting
