// Made in NPC Maker by BowieD
GUID 8241004f43314d008a29f4ef1df017f0
Type Vendor
ID 24257
Selling 8
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 36520
Selling_0_Cost 50000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 36521
Selling_1_Cost 50000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 36522
Selling_2_Cost 50000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 36523
Selling_3_Cost 50000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 36524
Selling_4_Cost 50000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 36525
Selling_5_Cost 50000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 36526
Selling_6_Cost 50000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 36527
Selling_7_Cost 50000
Disable_Sorting
