// Made in NPC Maker by BowieD
GUID b48ec7fd636e43c6800c4c6c9aaa4dbe
Type Vendor
ID 24250
Selling 24
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 39060
Selling_0_Cost 200000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 39061
Selling_1_Cost 200000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 39062
Selling_2_Cost 200000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 39063
Selling_3_Cost 200000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 39064
Selling_4_Cost 200000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 39065
Selling_5_Cost 200000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 39066
Selling_6_Cost 200000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 39067
Selling_7_Cost 200000
Selling_8_Type Vehicle
Selling_8_Spawnpoint car
Selling_8_ID 39230
Selling_8_Cost 175000
Selling_9_Type Vehicle
Selling_9_Spawnpoint car
Selling_9_ID 39231
Selling_9_Cost 175000
Selling_10_Type Vehicle
Selling_10_Spawnpoint car
Selling_10_ID 39232
Selling_10_Cost 175000
Selling_11_Type Vehicle
Selling_11_Spawnpoint car
Selling_11_ID 39233
Selling_11_Cost 175000
Selling_12_Type Vehicle
Selling_12_Spawnpoint car
Selling_12_ID 39234
Selling_12_Cost 175000
Selling_13_Type Vehicle
Selling_13_Spawnpoint car
Selling_13_ID 39235
Selling_13_Cost 175000
Selling_14_Type Vehicle
Selling_14_Spawnpoint car
Selling_14_ID 39236
Selling_14_Cost 175000
Selling_15_Type Vehicle
Selling_15_Spawnpoint car
Selling_15_ID 39237
Selling_15_Cost 175000
Selling_16_Type Vehicle
Selling_16_Spawnpoint car
Selling_16_ID 39270
Selling_16_Cost 200000
Selling_17_Type Vehicle
Selling_17_Spawnpoint car
Selling_17_ID 39271
Selling_17_Cost 200000
Selling_18_Type Vehicle
Selling_18_Spawnpoint car
Selling_18_ID 39272
Selling_18_Cost 200000
Selling_19_Type Vehicle
Selling_19_Spawnpoint car
Selling_19_ID 39273
Selling_19_Cost 200000
Selling_20_Type Vehicle
Selling_20_Spawnpoint car
Selling_20_ID 39274
Selling_20_Cost 200000
Selling_21_Type Vehicle
Selling_21_Spawnpoint car
Selling_21_ID 39275
Selling_21_Cost 200000
Selling_22_Type Vehicle
Selling_22_Spawnpoint car
Selling_22_ID 39276
Selling_22_Cost 200000
Selling_23_Type Vehicle
Selling_23_Spawnpoint car
Selling_23_ID 39277
Selling_23_Cost 200000
Disable_Sorting
