// Made in NPC Maker by BowieD
GUID d9c0122be402431fbe5d0785a09cc11d
Type Vendor
ID 24265
Selling 8
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 39670
Selling_0_Cost 100000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 39671
Selling_1_Cost 100000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 39672
Selling_2_Cost 100000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 39673
Selling_3_Cost 100000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 39674
Selling_4_Cost 100000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 39675
Selling_5_Cost 100000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 39676
Selling_6_Cost 100000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 39677
Selling_7_Cost 100000
Disable_Sorting
