// Made in NPC Maker by BowieD
GUID dbdc8da4407b42948ca1a413923e75f5
Type Vendor
ID 24256
Selling 24
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 36300
Selling_0_Cost 150000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 36301
Selling_1_Cost 150000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 36302
Selling_2_Cost 150000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 36303
Selling_3_Cost 150000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 36304
Selling_4_Cost 150000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 36305
Selling_5_Cost 150000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 36306
Selling_6_Cost 150000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 36307
Selling_7_Cost 150000
Selling_8_Type Vehicle
Selling_8_Spawnpoint car
Selling_8_ID 36570
Selling_8_Cost 150000
Selling_9_Type Vehicle
Selling_9_Spawnpoint car
Selling_9_ID 36571
Selling_9_Cost 150000
Selling_10_Type Vehicle
Selling_10_Spawnpoint car
Selling_10_ID 36572
Selling_10_Cost 150000
Selling_11_Type Vehicle
Selling_11_Spawnpoint car
Selling_11_ID 36573
Selling_11_Cost 150000
Selling_12_Type Vehicle
Selling_12_Spawnpoint car
Selling_12_ID 36574
Selling_12_Cost 150000
Selling_13_Type Vehicle
Selling_13_Spawnpoint car
Selling_13_ID 36575
Selling_13_Cost 150000
Selling_14_Type Vehicle
Selling_14_Spawnpoint car
Selling_14_ID 36576
Selling_14_Cost 150000
Selling_15_Type Vehicle
Selling_15_Spawnpoint car
Selling_15_ID 36577
Selling_15_Cost 150000
Selling_16_Type Vehicle
Selling_16_Spawnpoint car
Selling_16_ID 39620
Selling_16_Cost 100000
Selling_17_Type Vehicle
Selling_17_Spawnpoint car
Selling_17_ID 39621
Selling_17_Cost 100000
Selling_18_Type Vehicle
Selling_18_Spawnpoint car
Selling_18_ID 39622
Selling_18_Cost 100000
Selling_19_Type Vehicle
Selling_19_Spawnpoint car
Selling_19_ID 39623
Selling_19_Cost 100000
Selling_20_Type Vehicle
Selling_20_Spawnpoint car
Selling_20_ID 39624
Selling_20_Cost 100000
Selling_21_Type Vehicle
Selling_21_Spawnpoint car
Selling_21_ID 39625
Selling_21_Cost 100000
Selling_22_Type Vehicle
Selling_22_Spawnpoint car
Selling_22_ID 39626
Selling_22_Cost 100000
Selling_23_Type Vehicle
Selling_23_Spawnpoint car
Selling_23_ID 39627
Selling_23_Cost 100000
Disable_Sorting
