// Made in NPC Maker by BowieD
GUID f849265a5c894cf4b762d6e201759b74
Type Vendor
ID 24263
Selling 32
Selling_0_Type Vehicle
Selling_0_Spawnpoint car
Selling_0_ID 39450
Selling_0_Cost 100000
Selling_1_Type Vehicle
Selling_1_Spawnpoint car
Selling_1_ID 39451
Selling_1_Cost 100000
Selling_2_Type Vehicle
Selling_2_Spawnpoint car
Selling_2_ID 39452
Selling_2_Cost 100000
Selling_3_Type Vehicle
Selling_3_Spawnpoint car
Selling_3_ID 39453
Selling_3_Cost 100000
Selling_4_Type Vehicle
Selling_4_Spawnpoint car
Selling_4_ID 39454
Selling_4_Cost 100000
Selling_5_Type Vehicle
Selling_5_Spawnpoint car
Selling_5_ID 39455
Selling_5_Cost 100000
Selling_6_Type Vehicle
Selling_6_Spawnpoint car
Selling_6_ID 39456
Selling_6_Cost 100000
Selling_7_Type Vehicle
Selling_7_Spawnpoint car
Selling_7_ID 39457
Selling_7_Cost 100000
Selling_8_Type Vehicle
Selling_8_Spawnpoint car
Selling_8_ID 39460
Selling_8_Cost 100000
Selling_9_Type Vehicle
Selling_9_Spawnpoint car
Selling_9_ID 39461
Selling_9_Cost 100000
Selling_10_Type Vehicle
Selling_10_Spawnpoint car
Selling_10_ID 39462
Selling_10_Cost 100000
Selling_11_Type Vehicle
Selling_11_Spawnpoint car
Selling_11_ID 39463
Selling_11_Cost 100000
Selling_12_Type Vehicle
Selling_12_Spawnpoint car
Selling_12_ID 39464
Selling_12_Cost 100000
Selling_13_Type Vehicle
Selling_13_Spawnpoint car
Selling_13_ID 39465
Selling_13_Cost 100000
Selling_14_Type Vehicle
Selling_14_Spawnpoint car
Selling_14_ID 39466
Selling_14_Cost 100000
Selling_15_Type Vehicle
Selling_15_Spawnpoint car
Selling_15_ID 39467
Selling_15_Cost 100000
Selling_16_Type Vehicle
Selling_16_Spawnpoint car
Selling_16_ID 39480
Selling_16_Cost 175000
Selling_17_Type Vehicle
Selling_17_Spawnpoint car
Selling_17_ID 39481
Selling_17_Cost 175000
Selling_18_Type Vehicle
Selling_18_Spawnpoint car
Selling_18_ID 39482
Selling_18_Cost 175000
Selling_19_Type Vehicle
Selling_19_Spawnpoint car
Selling_19_ID 39483
Selling_19_Cost 175000
Selling_20_Type Vehicle
Selling_20_Spawnpoint car
Selling_20_ID 39484
Selling_20_Cost 175000
Selling_21_Type Vehicle
Selling_21_Spawnpoint car
Selling_21_ID 39485
Selling_21_Cost 175000
Selling_22_Type Vehicle
Selling_22_Spawnpoint car
Selling_22_ID 39486
Selling_22_Cost 175000
Selling_23_Type Vehicle
Selling_23_Spawnpoint car
Selling_23_ID 39470
Selling_23_Cost 175000
Selling_24_Type Vehicle
Selling_24_Spawnpoint car
Selling_24_ID 39490
Selling_24_Cost 150000
Selling_25_Type Vehicle
Selling_25_Spawnpoint car
Selling_25_ID 39491
Selling_25_Cost 150000
Selling_26_Type Vehicle
Selling_26_Spawnpoint car
Selling_26_ID 39492
Selling_26_Cost 150000
Selling_27_Type Vehicle
Selling_27_Spawnpoint car
Selling_27_ID 39493
Selling_27_Cost 150000
Selling_28_Type Vehicle
Selling_28_Spawnpoint car
Selling_28_ID 39494
Selling_28_Cost 150000
Selling_29_Type Vehicle
Selling_29_Spawnpoint car
Selling_29_ID 39495
Selling_29_Cost 150000
Selling_30_Type Vehicle
Selling_30_Spawnpoint car
Selling_30_ID 39496
Selling_30_Cost 150000
Selling_31_Type Vehicle
Selling_31_Spawnpoint car
Selling_31_ID 39497
Selling_31_Cost 150000
Disable_Sorting
