// Made in NPC Maker by BowieD
GUID 9fa448fc7f1d439fafb9fc8ffcaf9d90
Type Vendor
ID 24103
Buying 15
Buying_0_ID 4748
Buying_0_Cost 318
Buying_1_ID 4749
Buying_1_Cost 487
Buying_2_ID 4755
Buying_2_Cost 262
Buying_3_ID 4756
Buying_3_Cost 180
Buying_4_ID 4757
Buying_4_Cost 300
Buying_5_ID 4758
Buying_5_Cost 130
Buying_6_ID 4734
Buying_6_Cost 100
Buying_7_ID 4740
Buying_7_Cost 93
Buying_8_ID 396
Buying_8_Cost 160
Buying_9_ID 397
Buying_9_Cost 160
Buying_10_ID 398
Buying_10_Cost 160
Buying_11_ID 399
Buying_11_Cost 160
Buying_12_ID 400
Buying_12_Cost 160
Buying_13_ID 401
Buying_13_Cost 160
Buying_14_ID 402
Buying_14_Cost 160
