// Made in NPC Maker by BowieD
GUID 369b52dc42ad47998dab644efc96fd5f
Type Vendor
ID 24202
Buying 208
Buying_0_ID 512
Buying_0_Cost 105
Buying_0_Conditions 1
Buying_0_Condition_0_Type Flag_Short
Buying_0_Condition_0_ID 24202
Buying_0_Condition_0_Value 50
Buying_0_Condition_0_Allow_Unset 
Buying_0_Condition_0_Logic Less_Than

Buying_0_Rewards 1
Buying_0_Reward_0_Type Flag_Short
Buying_0_Reward_0_ID 24202
Buying_0_Reward_0_Value 1
Buying_0_Reward_0_Modification Increment

Buying_1_ID 512
Buying_1_Cost 106
Buying_1_Conditions 2
Buying_1_Condition_0_Type Flag_Short
Buying_1_Condition_0_ID 24202
Buying_1_Condition_0_Value 100
Buying_1_Condition_0_Allow_Unset 
Buying_1_Condition_0_Logic Less_Than

Buying_1_Condition_1_Type Flag_Short
Buying_1_Condition_1_ID 24202
Buying_1_Condition_1_Value 50
Buying_1_Condition_1_Allow_Unset 
Buying_1_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_1_Rewards 1
Buying_1_Reward_0_Type Flag_Short
Buying_1_Reward_0_ID 24202
Buying_1_Reward_0_Value 1
Buying_1_Reward_0_Modification Increment

Buying_2_ID 512
Buying_2_Cost 107
Buying_2_Conditions 2
Buying_2_Condition_0_Type Flag_Short
Buying_2_Condition_0_ID 24202
Buying_2_Condition_0_Value 150
Buying_2_Condition_0_Allow_Unset 
Buying_2_Condition_0_Logic Less_Than

Buying_2_Condition_1_Type Flag_Short
Buying_2_Condition_1_ID 24202
Buying_2_Condition_1_Value 100
Buying_2_Condition_1_Allow_Unset 
Buying_2_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_2_Rewards 1
Buying_2_Reward_0_Type Flag_Short
Buying_2_Reward_0_ID 24202
Buying_2_Reward_0_Value 1
Buying_2_Reward_0_Modification Increment

Buying_3_ID 512
Buying_3_Cost 108
Buying_3_Conditions 2
Buying_3_Condition_0_Type Flag_Short
Buying_3_Condition_0_ID 24202
Buying_3_Condition_0_Value 200
Buying_3_Condition_0_Allow_Unset 
Buying_3_Condition_0_Logic Less_Than

Buying_3_Condition_1_Type Flag_Short
Buying_3_Condition_1_ID 24202
Buying_3_Condition_1_Value 150
Buying_3_Condition_1_Allow_Unset 
Buying_3_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_3_Rewards 1
Buying_3_Reward_0_Type Flag_Short
Buying_3_Reward_0_ID 24202
Buying_3_Reward_0_Value 1
Buying_3_Reward_0_Modification Increment

Buying_4_ID 512
Buying_4_Cost 109
Buying_4_Conditions 2
Buying_4_Condition_0_Type Flag_Short
Buying_4_Condition_0_ID 24202
Buying_4_Condition_0_Value 250
Buying_4_Condition_0_Allow_Unset 
Buying_4_Condition_0_Logic Less_Than

Buying_4_Condition_1_Type Flag_Short
Buying_4_Condition_1_ID 24202
Buying_4_Condition_1_Value 200
Buying_4_Condition_1_Allow_Unset 
Buying_4_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_4_Rewards 1
Buying_4_Reward_0_Type Flag_Short
