// Made in NPC Maker by BowieD
GUID 140d0d91dd5849fcb366f14f9a2ac1c8
Type Vendor
ID 24220
Selling 16
Selling_0_ID 47396
Selling_0_Cost 300
Selling_1_ID 1096
Selling_1_Cost 300
Selling_2_ID 1095
Selling_2_Cost 300
Selling_3_ID 1097
Selling_3_Cost 300
Selling_4_ID 1098
Selling_4_Cost 300
Selling_5_ID 1468
Selling_5_Cost 300
Selling_6_ID 1467
Selling_6_Cost 300
Selling_7_ID 1469
Selling_7_Cost 300
Selling_8_ID 1470
Selling_8_Cost 300
Selling_9_ID 1232
Selling_9_Cost 300
Selling_10_ID 1231
Selling_10_Cost 300
Selling_11_ID 1233
Selling_11_Cost 300
Selling_12_ID 1234
Selling_12_Cost 300
Selling_13_ID 1328
Selling_13_Cost 300
Selling_14_ID 1327
Selling_14_Cost 300
Selling_15_ID 46811
Selling_15_Cost 300
Disable_Sorting
