// Made in NPC Maker by BowieD
GUID 51a454e5859e4105bf895e3e63177293
Type Vendor
ID 24222
Selling 31
Selling_0_ID 47240
Selling_0_Cost 500
Selling_1_ID 47241
Selling_1_Cost 500
Selling_2_ID 47242
Selling_2_Cost 500
Selling_3_ID 47243
Selling_3_Cost 500
Selling_4_ID 47249
Selling_4_Cost 500
Selling_5_ID 47250
Selling_5_Cost 500
Selling_6_ID 47251
Selling_6_Cost 500
Selling_7_ID 47252
Selling_7_Cost 500
Selling_8_ID 47253
Selling_8_Cost 500
Selling_9_ID 47246
Selling_9_Cost 500
Selling_10_ID 47245
Selling_10_Cost 500
Selling_11_ID 47244
Selling_11_Cost 500
Selling_12_ID 42334
Selling_12_Cost 500
Selling_13_ID 47455
Selling_13_Cost 500
Selling_14_ID 47456
Selling_14_Cost 500
Selling_15_ID 47457
Selling_15_Cost 500
Selling_16_ID 47458
Selling_16_Cost 500
Selling_17_ID 47459
Selling_17_Cost 500
Selling_18_ID 47460
Selling_18_Cost 500
Selling_19_ID 47461
Selling_19_Cost 500
Selling_20_ID 47462
Selling_20_Cost 500
Selling_21_ID 47467
Selling_21_Cost 500
Selling_22_ID 47468
Selling_22_Cost 500
Selling_23_ID 47469
Selling_23_Cost 500
Selling_24_ID 47466
Selling_24_Cost 500
Selling_25_ID 47247
Selling_25_Cost 500
Selling_26_ID 47248
Selling_26_Cost 500
Selling_27_ID 47260
Selling_27_Cost 500
Selling_28_ID 47261
Selling_28_Cost 500
Selling_29_ID 47262
Selling_29_Cost 500
Selling_30_ID 47263
Selling_30_Cost 500
Disable_Sorting
