// Made in NPC Maker by BowieD
GUID 282c3caff6944a0b9776938ec4d7d4a9
Type Vendor
ID 24122
Buying 3
Buying_0_ID 24908
Buying_0_Cost 500
Buying_0_Conditions 1
Buying_0_Condition_0_Type Quest
Buying_0_Condition_0_ID 24428
Buying_0_Condition_0_Status Completed
Buying_0_Condition_0_Logic Equal
Buying_0_Condition_0_Ignore_NPC False

Buying_1_ID 24910
Buying_1_Cost 750
Buying_1_Conditions 1
Buying_1_Condition_0_Type Quest
Buying_1_Condition_0_ID 24428
Buying_1_Condition_0_Status Completed
Buying_1_Condition_0_Logic Equal
Buying_1_Condition_0_Ignore_NPC False

Buying_2_ID 24909
Buying_2_Cost 1000
Buying_2_Conditions 1
Buying_2_Condition_0_Type Quest
Buying_2_Condition_0_ID 24428
Buying_2_Condition_0_Status Completed
Buying_2_Condition_0_Logic Equal
Buying_2_Condition_0_Ignore_NPC False

Selling 9
Selling_0_ID 70
Selling_0_Cost 50
Selling_1_ID 69
Selling_1_Cost 100
Selling_2_ID 1176
Selling_2_Cost 100
Selling_3_ID 1175
Selling_3_Cost 100
Selling_4_ID 1764
Selling_4_Cost 100
Selling_5_ID 137
Selling_5_Cost 200
Selling_6_ID 1030
Selling_6_Cost 200
Selling_7_ID 138
Selling_7_Cost 200
Selling_8_ID 120
Selling_8_Cost 200
Disable_Sorting
