// Made in NPC Maker by BowieD
GUID 18df03a6c5cb4c24bbb2bbc51330b5a9
Type Vendor
ID 24137
Selling 20
Selling_0_ID 58156
Selling_0_Cost 4500
Selling_1_ID 58394
Selling_1_Cost 4500
Selling_2_ID 58817
Selling_2_Cost 4500
Selling_3_ID 58366
Selling_3_Cost 4500
Selling_4_ID 58443
Selling_4_Cost 4500
Selling_5_ID 58203
Selling_5_Cost 4500
Selling_6_ID 58292
Selling_6_Cost 4500
Selling_7_ID 58543
Selling_7_Cost 4500
Selling_8_ID 58984
Selling_8_Cost 4500
Selling_9_ID 59033
Selling_9_Cost 4500
Selling_10_ID 59594
Selling_10_Cost 4500
Selling_11_ID 59388
Selling_11_Cost 4500
Selling_12_ID 59103
Selling_12_Cost 4500
Selling_13_ID 59259
Selling_13_Cost 4500
Selling_14_ID 59363
Selling_14_Cost 4500
Selling_15_ID 58689
Selling_15_Cost 4500
Selling_16_ID 58940
Selling_16_Cost 4500
Selling_17_ID 59391
Selling_17_Cost 4500
Selling_18_ID 59595
Selling_18_Cost 4500
Selling_19_ID 58346
Selling_19_Cost 4500
Disable_Sorting
