// Made in NPC Maker by BowieD
GUID 51c6bd7837e94709b8e952a8b9b10b7d
Type Vendor
ID 24131
Selling 16
Selling_0_ID 59631
Selling_0_Cost 3000
Selling_1_ID 58090
Selling_1_Cost 3000
Selling_2_ID 58342
Selling_2_Cost 3000
Selling_3_ID 58325
Selling_3_Cost 3000
Selling_4_ID 58301
Selling_4_Cost 3000
Selling_5_ID 59629
Selling_5_Cost 3000
Selling_6_ID 59268
Selling_6_Cost 3000
Selling_7_ID 59304
Selling_7_Cost 3000
Selling_8_ID 59019
Selling_8_Cost 3000
Selling_9_ID 58547
Selling_9_Cost 3000
Selling_10_ID 58267
Selling_10_Cost 3000
Selling_11_ID 59305
Selling_11_Cost 3000
Selling_12_ID 58943
Selling_12_Cost 3000
Selling_13_ID 58988
Selling_13_Cost 3000
Selling_14_ID 59666
Selling_14_Cost 3000
Selling_15_ID 59251
Selling_15_Cost 3000
Disable_Sorting
