// Made in NPC Maker by BowieD
GUID bdf7811dcc0c40fc97aad2bc488ee444
Type Vendor
ID 24134
Selling 20
Selling_0_ID 59150
Selling_0_Cost 5000
Selling_1_ID 58000
Selling_1_Cost 5000
Selling_2_ID 58133
Selling_2_Cost 5000
Selling_3_ID 58338
Selling_3_Cost 5000
Selling_4_ID 58375
Selling_4_Cost 5000
Selling_5_ID 58114
Selling_5_Cost 5000
Selling_6_ID 58398
Selling_6_Cost 5000
Selling_7_ID 59196
Selling_7_Cost 5000
Selling_8_ID 58816
Selling_8_Cost 5000
Selling_9_ID 59280
Selling_9_Cost 5000
Selling_10_ID 59143
Selling_10_Cost 5000
Selling_11_ID 58412
Selling_11_Cost 5000
Selling_12_ID 59104
Selling_12_Cost 5000
Selling_13_ID 59384
Selling_13_Cost 5000
Selling_14_ID 58866
Selling_14_Cost 5000
Selling_15_ID 58340
Selling_15_Cost 5000
Selling_16_ID 59696
Selling_16_Cost 5000
Selling_17_ID 59238
Selling_17_Cost 5000
Selling_18_ID 59383
Selling_18_Cost 5000
Selling_19_ID 59250
Selling_19_Cost 5000
Disable_Sorting
