// Made in NPC Maker by BowieD
GUID cada4aa9059141fc932e7cc194306f2a
Type Vendor
ID 24142
Selling 40
Selling_0_ID 28
Selling_0_Cost 200
Selling_1_ID 1440
Selling_1_Cost 1000
Selling_2_ID 277
Selling_2_Cost 100
Selling_3_ID 76
Selling_3_Cost 100
Selling_4_ID 1450
Selling_4_Cost 100
Selling_5_ID 1451
Selling_5_Cost 100
Selling_6_ID 75
Selling_6_Cost 75
Selling_7_ID 46810
Selling_7_Cost 5000
Selling_8_ID 1840
Selling_8_Cost 150
Selling_9_ID 1841
Selling_9_Cost 150
Selling_10_ID 1842
Selling_10_Cost 150
Selling_11_ID 1843
Selling_11_Cost 150
Selling_12_ID 1844
Selling_12_Cost 150
Selling_13_ID 1845
Selling_13_Cost 150
Selling_14_ID 1846
Selling_14_Cost 150
Selling_15_ID 1847
Selling_15_Cost 150
Selling_16_ID 1848
Selling_16_Cost 150
Selling_17_ID 1849
Selling_17_Cost 150
Selling_18_ID 1850
Selling_18_Cost 150
Selling_19_ID 1851
Selling_19_Cost 150
Selling_20_ID 1852
Selling_20_Cost 150
Selling_21_ID 1853
Selling_21_Cost 150
Selling_22_ID 1854
Selling_22_Cost 150
Selling_23_ID 1855
Selling_23_Cost 150
Selling_24_ID 1856
Selling_24_Cost 150
Selling_25_ID 1857
Selling_25_Cost 150
Selling_26_ID 1858
Selling_26_Cost 150
Selling_27_ID 1859
Selling_27_Cost 150
Selling_28_ID 1860
Selling_28_Cost 150
Selling_29_ID 1861
Selling_29_Cost 150
Selling_30_ID 1862
Selling_30_Cost 150
Selling_31_ID 1863
Selling_31_Cost 150
Selling_32_ID 1864
Selling_32_Cost 150
Selling_33_ID 1865
Selling_33_Cost 150
Selling_34_ID 1866
Selling_34_Cost 150
Selling_35_ID 1873
Selling_35_Cost 150
Selling_36_ID 1874
Selling_36_Cost 150
Selling_37_ID 1875
Selling_37_Cost 150
Selling_38_ID 1876
Selling_38_Cost 150
Selling_39_ID 1877
Selling_39_Cost 150
Disable_Sorting
