// Made in NPC Maker by BowieD
GUID 9dd47a37a0e846f2809302bcc90eb67b
Type Vendor
ID 24302
Selling 11
Selling_0_Type Vehicle
Selling_0_Spawnpoint PD_car
Selling_0_ID 39038
Selling_0_Cost 6000
Selling_1_Type Vehicle
Selling_1_Spawnpoint PD_car
Selling_1_ID 39198
Selling_1_Cost 6000
Selling_2_Type Vehicle
Selling_2_Spawnpoint PD_car
Selling_2_ID 39048
Selling_2_Cost 12000
Selling_3_Type Vehicle
Selling_3_Spawnpoint PD_car
Selling_3_ID 36268
Selling_3_Cost 85000
Selling_4_Type Vehicle
Selling_4_Spawnpoint PD_car
Selling_4_ID 36568
Selling_4_Cost 175000
Selling_5_Type Vehicle
Selling_5_Spawnpoint PD_car
Selling_5_ID 36588
Selling_5_Cost 175000
Selling_6_Type Vehicle
Selling_6_Spawnpoint PD_car
Selling_6_ID 39028
Selling_6_Cost 175000
Selling_7_Type Vehicle
Selling_7_Spawnpoint PD_car
Selling_7_ID 39068
Selling_7_Cost 200000
Selling_8_Type Vehicle
Selling_8_Spawnpoint PD_car
Selling_8_ID 39158
Selling_8_Cost 175000
Selling_9_Type Vehicle
Selling_9_Spawnpoint PD_car
Selling_9_ID 39258
Selling_9_Cost 200000
Selling_10_Type Vehicle
Selling_10_Spawnpoint PD_car
Selling_10_ID 39278
Selling_10_Cost 200000
Disable_Sorting
