// Made in NPC Maker by BowieD
GUID 8e1992f6d1cc4e94bba74afec9a4149c
Type Vendor
ID 24233
Selling 11
Selling_0_ID 1195
Selling_0_Cost 50
Selling_1_ID 1196
Selling_1_Cost 50
Selling_2_ID 7471
Selling_2_Cost 100
Selling_3_ID 7472
Selling_3_Cost 50
Selling_4_ID 13671
Selling_4_Cost 100
Selling_5_ID 17638
Selling_5_Cost 300
Selling_6_ID 59368
Selling_6_Cost 1000
Selling_7_ID 59574
Selling_7_Cost 10000
Selling_8_ID 58176
Selling_8_Cost 500
Selling_9_ID 58290
Selling_9_Cost 500
Selling_10_ID 261
Selling_10_Cost 500
Disable_Sorting
