// Made in NPC Maker by BowieD
GUID cee1510c2bdc48ffa45564bd10646ffc
Type Vendor
ID 24432
Buying 8
Buying_0_ID 24912
Buying_0_Cost 1000
Buying_0_Conditions 1
Buying_0_Condition_0_Type Quest
Buying_0_Condition_0_ID 24424
Buying_0_Condition_0_Status Completed
Buying_0_Condition_0_Logic Equal
Buying_0_Condition_0_Ignore_NPC False

Buying_1_ID 24905
Buying_1_Cost 5000
Buying_1_Conditions 1
Buying_1_Condition_0_Type Quest
Buying_1_Condition_0_ID 24426
Buying_1_Condition_0_Status Completed
Buying_1_Condition_0_Logic Equal
Buying_1_Condition_0_Ignore_NPC False

Buying_2_ID 24911
Buying_2_Cost 1000
Buying_2_Conditions 1
Buying_2_Condition_0_Type Quest
Buying_2_Condition_0_ID 24431
Buying_2_Condition_0_Status Completed
Buying_2_Condition_0_Logic Equal
Buying_2_Condition_0_Ignore_NPC False

Buying_3_ID 24914
Buying_3_Cost 1000
Buying_3_Conditions 1
Buying_3_Condition_0_Type Quest
Buying_3_Condition_0_ID 24430
Buying_3_Condition_0_Status Completed
Buying_3_Condition_0_Logic Equal
Buying_3_Condition_0_Ignore_NPC False

Buying_4_ID 1011
Buying_4_Cost 200
Buying_5_ID 1010
Buying_5_Cost 200
Buying_6_ID 1012
Buying_6_Cost 200
Buying_7_ID 1013
Buying_7_Cost 200
Selling 4
Selling_0_ID 1270
Selling_0_Cost 1000
Selling_0_Conditions 1
Selling_0_Condition_0_Type Quest
Selling_0_Condition_0_ID 24429
Selling_0_Condition_0_Status Completed
Selling_0_Condition_0_Logic Equal
Selling_0_Condition_0_Ignore_NPC False

Selling_1_ID 1271
Selling_1_Cost 350
Selling_1_Conditions 1
Selling_1_Condition_0_Type Quest
Selling_1_Condition_0_ID 24429
Selling_1_Condition_0_Status Completed
Selling_1_Condition_0_Logic Equal
Selling_1_Condition_0_Ignore_NPC False

Selling_2_ID 49823
Selling_2_Cost 500
Selling_2_Conditions 1
Selling_2_Condition_0_Type Flag_Bool
Selling_2_Condition_0_ID 24422
Selling_2_Condition_0_Value True
Selling_2_Condition_0_Logic Equal

Selling_3_ID 49824
Selling_3_Cost 500
Selling_3_Conditions 1
Selling_3_Condition_0_Type Flag_Bool
Selling_3_Condition_0_ID 24422
Selling_3_Condition_0_Value True
Selling_3_Condition_0_Logic Equal

Disable_Sorting
