// Made in NPC Maker by BowieD
GUID b61c83d66de647f5a47a0dcb4eae18d5
Type Vendor
ID 3534
Buying 96
Buying_0_ID 49119
Buying_0_Cost 300
Buying_0_Conditions 1
Buying_0_Condition_0_Type Flag_Short
Buying_0_Condition_0_ID 33
Buying_0_Condition_0_Value 1000
Buying_0_Condition_0_Logic Less_Than

Buying_0_Rewards 1
Buying_0_Reward_0_Type Flag_Short
Buying_0_Reward_0_ID 33
Buying_0_Reward_0_Value 10
Buying_0_Reward_0_Modification Increment

Buying_1_ID 49117
Buying_1_Cost 300
Buying_1_Conditions 1
Buying_1_Condition_0_Type Flag_Short
Buying_1_Condition_0_ID 33
Buying_1_Condition_0_Value 1000
Buying_1_Condition_0_Logic Less_Than

Buying_1_Rewards 1
Buying_1_Reward_0_Type Flag_Short
Buying_1_Reward_0_ID 33
Buying_1_Reward_0_Value 10
Buying_1_Reward_0_Modification Increment

Buying_2_ID 49115
Buying_2_Cost 300
Buying_2_Conditions 1
Buying_2_Condition_0_Type Flag_Short
Buying_2_Condition_0_ID 33
Buying_2_Condition_0_Value 1000
Buying_2_Condition_0_Logic Less_Than

Buying_2_Rewards 1
Buying_2_Reward_0_Type Flag_Short
Buying_2_Reward_0_ID 33
Buying_2_Reward_0_Value 10
Buying_2_Reward_0_Modification Increment

Buying_3_ID 41
Buying_3_Cost 30
Buying_3_Conditions 1
Buying_3_Condition_0_Type Flag_Short
Buying_3_Condition_0_ID 33
Buying_3_Condition_0_Value 1000
Buying_3_Condition_0_Logic Less_Than

Buying_3_Rewards 1
Buying_3_Reward_0_Type Flag_Short
Buying_3_Reward_0_ID 33
Buying_3_Reward_0_Value 1
Buying_3_Reward_0_Modification Increment

Buying_4_ID 39
Buying_4_Cost 30
Buying_4_Conditions 1
Buying_4_Condition_0_Type Flag_Short
Buying_4_Condition_0_ID 33
Buying_4_Condition_0_Value 1000
Buying_4_Condition_0_Logic Less_Than

Buying_4_Rewards 1
Buying_4_Reward_0_Type Flag_Short
Buying_4_Reward_0_ID 33
Buying_4_Reward_0_Value 1
Buying_4_Reward_0_Modification Increment

Buying_5_ID 37
Buying_5_Cost 30
Buying_5_Conditions 1
Buying_5_Condition_0_Type Flag_Short
Buying_5_Condition_0_ID 33
Buying_5_Condition_0_Value 1000
Buying_5_Condition_0_Logic Less_Than

Buying_5_Rewards 1
Buying_5_Reward_0_Type Flag_Short
Buying_5_Reward_0_ID 33
Buying_5_Reward_0_Value 1
Buying_5_Reward_0_Modification Increment

Buying_6_ID 49119
Buying_6_Cost 310
Buying_6_Conditions 2
Buying_6_Condition_0_Type Flag_Short
Buying_6_Condition_0_ID 33
Buying_6_Condition_0_Value 2000
Buying_6_Condition_0_Logic Less_Than

Buying_6_Condition_1_Type Flag_Short
Buying_6_Condition_1_ID 33
Buying_6_Condition_1_Value 1000
Buying_6_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_6_Rewards 1
Buying_6_Reward_0_Type Flag_Short
Buying_6_Reward_0_ID 33
Buying_6_Reward_0_Value 10
Buying_6_Reward_0_Modification Increment

Buying_7_ID 49117
Buying_7_Cost 310
Buying_7_Conditions 2
Buying_7_Condition_0_Type Flag_Short
Buying_7_Condition_0_ID 33
Buying_7_Condition_0_Value 2000
Buying_7_Condition_0_Logic Less_Than

Buying_7_Condition_1_Type Flag_Short
Buying_7_Condition_1_ID 33
Buying_7_Condition_1_Value 1000
Buying_7_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_7_Rewards 1
Buying_7_Reward_0_Type Flag_Short
Buying_7_Reward_0_ID 33
Buying_7_Reward_0_Value 10
Buying_7_Reward_0_Modification Increment

Buying_8_ID 49115
Buying_8_Cost 310
Buying_8_Conditions 2
Buying_8_Condition_0_Type Flag_Short
Buying_8_Condition_0_ID 33
Buying_8_Condition_0_Value 2000
Buying_8_Condition_0_Logic Less_Than

Buying_8_Condition_1_Type Flag_Short
Buying_8_Condition_1_ID 33
Buying_8_Condition_1_Value 1000
Buying_8_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_8_Rewards 1
Buying_8_Reward_0_Type Flag_Short
Buying_8_Reward_0_ID 33
Buying_8_Reward_0_Value 10
Buying_8_Reward_0_Modification Increment

Buying_9_ID 49119
Buying_9_Cost 320
Buying_9_Conditions 2
Buying_9_Condition_0_Type Flag_Short
Buying_9_Condition_0_ID 33
Buying_9_Condition_0_Value 3000
Buying_9_Condition_0_Logic Less_Than

Buying_9_Condition_1_Type Flag_Short
Buying_9_Condition_1_ID 33
Buying_9_Condition_1_Value 2000
Buying_9_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_9_Rewards 1
Buying_9_Reward_0_Type Flag_Short
Buying_9_Reward_0_ID 33
Buying_9_Reward_0_Value 10
Buying_9_Reward_0_Modification Increment

Buying_10_ID 49117
Buying_10_Cost 320
Buying_10_Conditions 2
