// Made in NPC Maker by BowieD
GUID 2d1f4fee61c44bf1875d364459119c70
Type Vendor
ID 2536
Buying 80
Buying_0_ID 67
Buying_0_Cost 30
Buying_0_Conditions 1
Buying_0_Condition_0_Type Flag_Short
Buying_0_Condition_0_ID 2567
Buying_0_Condition_0_Value 1000
Buying_0_Condition_0_Allow_Unset 
Buying_0_Condition_0_Logic Less_Than

Buying_0_Rewards 1
Buying_0_Reward_0_Type Flag_Short
Buying_0_Reward_0_ID 2567
Buying_0_Reward_0_Value 1
Buying_0_Reward_0_Modification Increment

Buying_1_ID 49101
Buying_1_Cost 300
Buying_1_Conditions 1
Buying_1_Condition_0_Type Flag_Short
Buying_1_Condition_0_ID 2567
Buying_1_Condition_0_Value 1000
Buying_1_Condition_0_Allow_Unset 
Buying_1_Condition_0_Logic Less_Than

Buying_1_Rewards 1
Buying_1_Reward_0_Type Flag_Short
Buying_1_Reward_0_ID 2567
Buying_1_Reward_0_Value 10
Buying_1_Reward_0_Modification Increment

Buying_2_ID 49102
Buying_2_Cost 3000
Buying_2_Conditions 1
Buying_2_Condition_0_Type Flag_Short
Buying_2_Condition_0_ID 2567
Buying_2_Condition_0_Value 1000
Buying_2_Condition_0_Allow_Unset 
Buying_2_Condition_0_Logic Less_Than

Buying_2_Rewards 1
Buying_2_Reward_0_Type Flag_Short
Buying_2_Reward_0_ID 2567
Buying_2_Reward_0_Value 100
Buying_2_Reward_0_Modification Increment

Buying_3_ID 56252
Buying_3_Cost 50
Buying_3_Conditions 1
Buying_3_Condition_0_Type Flag_Short
Buying_3_Condition_0_ID 2568
Buying_3_Condition_0_Value 500
Buying_3_Condition_0_Allow_Unset 
Buying_3_Condition_0_Logic Less_Than

Buying_3_Rewards 1
Buying_3_Reward_0_Type Flag_Short
Buying_3_Reward_0_ID 2568
Buying_3_Reward_0_Value 1
Buying_3_Reward_0_Modification Increment

Buying_4_ID 56253
Buying_4_Cost 50
Buying_4_Conditions 1
Buying_4_Condition_0_Type Flag_Short
Buying_4_Condition_0_ID 2568
Buying_4_Condition_0_Value 500
Buying_4_Condition_0_Allow_Unset 
Buying_4_Condition_0_Logic Less_Than

Buying_4_Rewards 1
Buying_4_Reward_0_Type Flag_Short
Buying_4_Reward_0_ID 2568
Buying_4_Reward_0_Value 1
Buying_4_Reward_0_Modification Increment

Buying_5_ID 67
Buying_5_Cost 31
Buying_5_Conditions 2
Buying_5_Condition_0_Type Flag_Short
Buying_5_Condition_0_ID 2567
Buying_5_Condition_0_Value 2000
Buying_5_Condition_0_Allow_Unset 
Buying_5_Condition_0_Logic Less_Than

Buying_5_Condition_1_Type Flag_Short
Buying_5_Condition_1_ID 2567
Buying_5_Condition_1_Value 1000
Buying_5_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_5_Rewards 1
Buying_5_Reward_0_Type Flag_Short
Buying_5_Reward_0_ID 2567
Buying_5_Reward_0_Value 1
Buying_5_Reward_0_Modification Increment

Buying_6_ID 49101
Buying_6_Cost 310
Buying_6_Conditions 2
Buying_6_Condition_0_Type Flag_Short
Buying_6_Condition_0_ID 2567
Buying_6_Condition_0_Value 2000
Buying_6_Condition_0_Allow_Unset 
Buying_6_Condition_0_Logic Less_Than

Buying_6_Condition_1_Type Flag_Short
Buying_6_Condition_1_ID 2567
Buying_6_Condition_1_Value 1000
Buying_6_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_6_Rewards 1
Buying_6_Reward_0_Type Flag_Short
Buying_6_Reward_0_ID 2567
Buying_6_Reward_0_Value 10
Buying_6_Reward_0_Modification Increment

Buying_7_ID 49102
Buying_7_Cost 3100
Buying_7_Conditions 2
Buying_7_Condition_0_Type Flag_Short
Buying_7_Condition_0_ID 2567
Buying_7_Condition_0_Value 2000
Buying_7_Condition_0_Allow_Unset 
Buying_7_Condition_0_Logic Less_Than

Buying_7_Condition_1_Type Flag_Short
Buying_7_Condition_1_ID 2567
Buying_7_Condition_1_Value 1000
Buying_7_Condition_1_Logic Greater_Than_Or_Equal_To

Buying_7_Rewards 1
Buying_7_Reward_0_Type Flag_Short
Buying_7_Reward_0_ID 2567
Buying_7_Reward_0_Value 100
Buying_7_Reward_0_Modification Increment

Buying_8_ID 56252
Buying_8_Cost 51
Buying_8_Conditions 2
